episode,score,time_seconds
0,634,81.80271
1,73,80.897491
2,392,80.975387
3,392,80.912167
4,546,81.253551
5,458,81.013861
6,183,80.926249
7,293,80.889737
8,392,80.897938
9,392,80.98752
10,348,81.0066
11,766,81.027939
12,370,80.892996
13,117,80.980109
14,348,80.976596
15,524,80.939973
16,469,80.992949
17,117,81.058438
18,293,80.955785
19,546,80.964765
20,590,81.054479
21,381,80.923544
22,524,80.94151
23,480,80.93219
24,656,81.027176
25,271,80.910505
26,480,80.999332
27,601,80.925249
28,293,80.897649
29,590,80.996581
30,645,80.965317
31,678,80.994161
32,491,81.04931
33,491,81.198078
34,601,81.025457
35,546,81.041416
36,821,80.973992
37,304,80.979545
38,370,81.104352
39,117,81.142301
40,491,81.248553
41,271,81.180236
42,568,81.106725
43,73,81.029712
44,601,81.196111
45,183,81.175412
46,425,81.264449
47,535,81.191307
48,271,81.091841
49,315,81.235735
50,348,81.068841
51,304,81.10333
52,348,81.019777
53,359,81.067834
54,194,81.258996
55,370,81.160694
56,689,81.153532
57,821,81.073959
58,326,81.238355
59,392,81.33114
60,139,81.156311
61,425,81.280213
62,546,81.04724
63,-48,81.070753
64,392,81.094555
