Episode,Score,Score/1000,Loss,Time (seconds),
0,554,0.554,0.206,98.0656361579895,1250
1,470,0.47,0.2899,97.6866924762726,1250
2,530,0.53,0.0832,93.5157370567322,1250
3,704,0.704,0.2495,94.6799955368042,1250
4,806,0.806,0.43,88.4792537689209,1250
5,656,0.656,0.3994,94.9423668384552,1250
6,530,0.53,0.3404,92.8402802944183,1250
7,500,0.5,0.2538,93.153514623642,1250
8,560,0.56,0.2922,95.010954618454,1250
9,602,0.602,0.2399,95.5292956829071,1250
10,512,0.512,0.2978,96.9670486450195,1250
11,494,0.494,0.7162,97.1338164806366,1250
12,512,0.512,0.6974,94.3920722007752,1250
13,674,0.674,0.4337,102.741337776184,1250
14,716,0.716,0.6299,99.0384719371796,1250
15,818,0.818,0.3644,97.7391624450684,1250
16,728,0.728,0.5332,101.035798549652,1250
17,686,0.686,0.3467,97.0404906272888,1250
18,698,0.698,0.6248,94.1242201328278,1250
19,422,0.422,0.7859,98.9756669998169,1250
20,566,0.566,0.262,100.84915971756,1250
21,632,0.632,0.7373,99.9605317115784,1250
22,482,0.482,0.5728,99.7038953304291,1250
23,680,0.68,0.6291,99.8508009910583,1250
24,602,0.602,0.6492,99.2790629863739,1250
25,656,0.656,0.7115,99.1789994239807,1250
26,596,0.596,0.6222,94.1457200050354,1250
27,674,0.674,0.3909,98.8274269104004,1250
28,728,0.728,0.6817,97.0721986293793,1250
29,572,0.572,0.7927,102.874834537506,1250
30,578,0.578,0.5747,103.185071468353,1250
31,650,0.65,0.5285,94.7172591686249,1250
32,506,0.506,0.7359,94.3389506340027,1250
33,548,0.548,0.7828,100.403552293777,1250
34,692,0.692,0.5398,94.2252013683319,1250
35,596,0.596,0.8286,100.566704750061,1250
36,590,0.59,0.3788,98.247570514679,1250
37,734,0.734,0.6228,95.744019985199,1250
38,620,0.62,0.6852,93.9334492683411,1250
39,770,0.77,0.6833,95.4182779788971,1250
40,752,0.752,0.7439,96.4141757488251,1250
41,410,0.41,0.5757,95.5176439285278,1250
42,710,0.71,0.3461,95.9408838748932,1250
43,758,0.758,0.7089,94.5163698196411,1250
44,728,0.728,0.5822,94.9993515014648,1250
45,548,0.548,0.6781,97.724223613739,1250
46,518,0.518,0.3775,97.4944806098938,1250
